title;start;oldrun;path_report;qos;magpie_scen;no_ghgprices_land_until;var_luc;path_gdx;path_gdx_bau;path_gdx_ref
SSP2-Base;0;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SSP2-NDC;0;;;;SSP2|NDC|nocc_hist;y2150;raw;;;
SSP2-NPi;0;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SSP2-PkBudg650;0;;;;SSP2|NDC|nocc_hist;y2030;raw;;;
SSP2-PkBudg1050;0;;;;SSP2|NDC|nocc_hist;y2030;raw;;;
SSP1-NDC;0;;;;SSP1|NDC|nocc_hist;y2150;raw;;;
SSP1-NPi;0;;;;SSP1|NPI|nocc_hist;y2150;raw;;;
SSP1-PkBudg650;0;;;;SSP1|NDC|nocc_hist;y2030;raw;;;
SSP1-PkBudg1050;0;;;;SSP1|NDC|nocc_hist;y2030;raw;;;
SDP_MC-NPi;0;;;;SDP-MC|NPI|nocc_hist;y2150;raw;;;
SDP_MC-PkBudg650;0;;;;SDP-MC|NDC|nocc_hist;y2030;raw;;;
SMIPv03-M-SSP2-NPi-def;0;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SMIPv03-LOS-SSP2-EcBudg400-def;0;;;;SSP2|NPI|nocc_hist;y2035;raw;;;
SMIPv03-L-SSP2-PkBudg1000-def;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-L-SSP2-PkPrice265-inc3-def;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-L-SSP2-PkPrice265-inc6-def;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkBudg2000-def;0;;;;SSP2|NPI|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-EocPrice235-con2050-def;0;;;;SSP2|NPI|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-EocPrice235-conv2070-def;0;;;;SSP2|NPI|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-EocPrice235-conv2100-def;0;;;;SSP2|NPI|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-Npi_100-def;0;;;;SSP2|NPI|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-Npi_150-def;0;;;;SSP2|NPI|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-Npi_200-def;0;;;;SSP2|NPI|nocc_hist;y2035;raw;;;
SMIPv03-VL-SDP_MC-PkPrice250-def;0;;;;SDP-MC|NDC|nocc_hist;y2030;raw;;;
SMIPv03-VL-SDP_MC-PkPrice500-def;0;;;;SDP-MC|NDC|nocc_hist;y2030;raw;;;
SMIPv03-VL-SSP2_SDP_MC-PkBudg750-def;0;;;;SSP2-SDP-MC|NDC|nocc_hist;y2030;raw;;;
SMIPv03-VL-SSP2_SDP_MC-PkPrice250-def;0;;;;SSP2-SDP-MC|NDC|nocc_hist;y2030;raw;;;
SMIPv03-VL-SSP2_SDP_MC-PkPrice500-def;0;;;;SSP2-SDP-MC|NDC|nocc_hist;y2030;raw;;;
SMIPv03-VL-SDP_MC_fixIndUe-PkBudg750-def;0;;;;SDP-MC|NDC|nocc_hist;y2030;raw;;;
SMIPv03-VL-SDP_MC_fixIndUe-PkPrice250-def;0;;;;SDP-MC|NDC|nocc_hist;y2030;raw;;;
SMIPv03-VL-SDP_MC_fixIndUe-PkPrice500-def;0;;;;SDP-MC|NDC|nocc_hist;y2030;raw;;;
SMIPv03-VL-SSP2_SDP_MC-PkPrice300-uniform;0;;;;SSP2-SDP-MC|NDC|nocc_hist;y2030;raw;;;
SMIPv03-L-SSP2-PkPrice265-inc6-uniform;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-LOS-SSP2-EcBudg400-uniform-fixed;1;;;;SSP2|NPI|nocc_hist;y2035;raw;;;
SMIPv03-VL-SSP2_SDP_MC-PkBudg750-uniform;0;;;;SSP2-SDP-MC|NDC|nocc_hist;y2030;raw;;;
SMIPv03-L-SSP2-PkBudg1000-uniform;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-LOS-SSP2-EcBudg400-uniform-budget;0;;;;SSP2|NPI|nocc_hist;y2035;raw;;;
